tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway-R,Scen2,21,0,89591911,0,2,0,0,100.0
Flyway-R,Scen2,20,0,80342056,0,2,0,0,100.0
Flyway-R,Scen2,19,0,90802228,0,1,0,0,100.0
Flyway-R,Scen2,18,0,22942291492,0,54,0,0,100.0
Flyway-R,Scen2,17,0,108548659,0,1,0,0,100.0
Flyway-R,Scen2,16,0,115810282,0,1,0,0,100.0
Flyway-R,Scen2,15,0,1317796069,0,1,0,0,100.0
Flyway,Scen2,15,1957876306,0,0,13,0,0,100.0
Flyway,Scen2,16,2132745590,0,0,3,0,0,100.0
Flyway,Scen2,17,2095620283,0,0,3,0,0,100.0
Flyway,Scen2,18,40605031417,0,0,10,0,0,100.0
Flyway,Scen2,19,2329678555,0,0,6,0,0,100.0
Flyway,Scen2,20,3163731348,0,0,2,0,0,100.0
Flyway,Scen2,21,2237798667,0,0,3,0,0,100.0
Flyway,Scen2,22,2390627253,0,0,2,0,0,100.0
Flyway,Scen2,23,2198910427,0,0,3,0,0,100.0
Flyway,Scen2,24,4459650768,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,80397539,0,2,0,0,100.0
Flyway-R,Scen2,23,0,95973035,0,2,0,0,100.0
Flyway-R,Scen2,22,0,83359619,0,2,0,0,100.0
Flyway-R,Scen2,21,0,92845544,0,2,0,0,100.0
Flyway-R,Scen2,20,0,103360491,0,2,0,0,100.0
Flyway-R,Scen2,19,0,145481025,0,1,0,0,100.0
Flyway-R,Scen2,18,0,21901139493,0,54,0,0,100.0
Flyway-R,Scen2,17,0,116993430,0,1,0,0,100.0
Flyway-R,Scen2,16,0,158051490,0,1,0,0,100.0
Flyway-R,Scen2,15,0,236049928,0,1,0,0,100.0
Flyway,Scen2,15,2068548373,0,0,13,0,0,100.0
Flyway,Scen2,16,2112107321,0,0,3,0,0,100.0
Flyway,Scen2,17,2116759446,0,0,3,0,0,100.0
Flyway,Scen2,18,40782338365,0,0,10,0,0,100.0
Flyway,Scen2,19,2266517684,0,0,6,0,0,100.0
Flyway,Scen2,20,3615389951,0,0,2,0,0,100.0
Flyway,Scen2,21,2091116077,0,0,3,0,0,100.0
Flyway,Scen2,22,2180191900,0,0,2,0,0,100.0
Flyway,Scen2,23,2290324875,0,0,3,0,0,100.0
Flyway,Scen2,24,3261445624,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,80427318,0,2,0,0,100.0
Flyway-R,Scen2,23,0,90405618,0,2,0,0,100.0
Flyway-R,Scen2,22,0,79528984,0,2,0,0,100.0
Flyway-R,Scen2,21,0,95006569,0,2,0,0,100.0
Flyway-R,Scen2,20,0,80229942,0,2,0,0,100.0
Flyway-R,Scen2,19,0,98860916,0,1,0,0,100.0
Flyway-R,Scen2,18,0,23274287695,0,54,0,0,100.0
Flyway-R,Scen2,17,0,102011411,0,1,0,0,100.0
Flyway-R,Scen2,16,0,122683796,0,1,0,0,100.0
